Fp1-LE_alpha,F3-LE_alpha,C3-LE_alpha,P3-LE_alpha,O1-LE_alpha,F7-LE_alpha,T3-LE_alpha,T5-LE_alpha,Fz-LE_alpha,Fp2-LE_alpha,F4-LE_alpha,C4-LE_alpha,P4-LE_alpha,O2-LE_alpha,F8-LE_alpha,T4-LE_alpha,T6-LE_alpha,Cz-LE_alpha,Pz-LE_alpha,A2-A1_alpha,class
13.43,17.47,24.98,11.56,9.18,11.23,15.79,10.11,18.98,13.91,18.08,27.87,15.73,9.32,11.58,15.75,12.07,13.49,8.86,3.63,0
12.19,17.42,24.82,13.25,19.93,10.98,13.65,12.41,17.59,11.73,16.4,16.5,12.97,12.79,8.8,11.01,8.63,14.64,13.4,4.13,0
8.05,10.02,13.17,9.67,9.04,5.39,6.38,7.99,11.78,7.93,10.12,18.55,16.19,13.72,5.63,13.02,11.43,9.53,10.22,4.48,0
11.05,14.32,37.91,20.0,18.46,10.62,24.91,19.53,15.34,11.74,15.82,29.39,37.56,38.35,10.23,28.61,46.42,10.84,13.06,10.5,0
10.65,15.62,35.74,20.71,11.09,7.93,18.68,15.88,17.6,11.32,15.14,30.52,25.03,11.56,9.27,21.56,19.91,16.64,17.08,4.76,0
12.01,14.32,22.98,11.31,21.69,6.54,10.28,8.83,18.91,12.96,20.35,28.85,21.84,43.66,12.2,18.06,22.07,17.62,14.49,3.9,0
9.02,10.97,23.69,9.91,7.87,6.04,11.19,8.2,14.76,10.56,15.06,24.08,17.51,12.12,10.45,14.22,13.11,11.11,10.16,5.03,0
10.09,14.19,14.74,12.43,25.56,8.57,8.82,9.31,18.1,11.79,17.49,28.39,32.23,54.5,9.55,15.93,27.87,18.38,21.75,4.29,0
8.26,8.64,9.53,7.28,8.56,6.03,5.39,7.0,10.02,9.53,10.58,16.42,13.17,11.02,7.31,11.66,11.36,6.71,7.75,4.59,0
8.58,12.86,16.72,17.31,22.25,10.27,12.32,15.31,12.12,8.04,13.23,18.07,22.62,34.27,8.74,14.01,24.97,14.93,20.57,8.99,0
13.18,16.64,43.96,46.79,43.72,9.23,25.44,34.23,21.35,13.55,21.66,51.31,52.96,33.05,12.62,28.18,28.22,32.85,54.78,6.84,0
11.42,15.94,29.11,14.63,12.15,8.19,14.27,11.77,18.88,12.57,16.55,29.17,21.62,16.63,9.45,17.12,18.6,16.49,14.81,7.09,0
12.09,14.6,23.56,19.1,19.37,6.77,10.51,12.34,17.92,14.17,17.17,20.72,24.1,35.51,12.47,12.65,15.74,18.42,21.91,4.72,0
13.35,15.69,12.26,9.4,9.1,7.57,6.6,7.19,18.85,15.11,18.63,20.37,13.26,14.14,11.62,9.79,8.2,14.59,12.07,3.29,0
12.47,17.11,21.75,13.95,23.78,7.57,8.59,10.45,21.42,13.42,19.48,14.42,17.27,38.11,8.98,7.85,17.86,18.06,19.82,3.65,0
12.94,19.21,32.81,28.14,38.26,10.44,16.47,21.92,23.01,15.31,22.68,21.96,19.63,38.65,11.27,10.05,21.75,29.37,31.55,6.33,0
14.38,21.11,26.27,20.35,24.08,10.89,12.55,14.98,23.5,13.71,20.17,31.73,46.94,45.91,11.39,20.85,35.74,29.12,37.97,6.12,0
8.69,10.73,11.63,9.25,11.41,6.11,6.14,7.28,12.47,9.5,10.08,18.1,16.86,22.36,6.56,13.48,13.69,11.82,11.07,5.28,0
18.98,24.03,49.6,50.5,72.28,14.48,20.55,31.32,28.62,18.61,28.7,64.86,112.8,89.24,17.34,37.73,61.16,58.45,109.83,5.77,0
9.8,11.83,24.96,18.8,15.1,7.15,16.39,14.7,15.47,12.15,17.27,35.36,30.25,25.1,10.36,25.8,30.08,13.49,15.44,6.3,0
8.44,12.52,19.48,9.92,7.52,6.1,12.14,8.96,14.73,10.84,13.96,20.48,14.86,10.63,8.53,15.68,12.27,10.89,8.5,6.06,0
10.77,13.37,20.6,10.73,9.25,8.32,10.6,9.91,14.93,9.71,12.93,20.33,16.2,12.23,6.21,12.08,14.88,13.19,11.4,4.09,0
9.48,11.8,12.72,9.71,11.96,6.88,7.06,7.3,14.17,8.64,12.38,27.97,22.7,21.99,5.82,19.86,21.72,12.87,12.71,5.9,0
9.7,12.41,22.64,14.23,17.52,7.63,12.15,11.7,14.22,10.72,12.21,12.02,15.34,29.44,6.88,10.44,14.02,11.5,13.4,4.64,0
23.18,28.01,39.42,23.75,18.41,15.73,25.77,22.37,36.04,22.34,32.86,31.04,37.65,47.81,13.82,24.81,45.27,24.46,19.76,11.97,0
19.65,24.77,27.97,19.36,50.83,14.06,16.39,14.14,29.68,20.03,27.01,49.96,62.54,82.53,15.22,32.5,51.82,28.9,46.15,6.6,0
13.15,16.86,30.08,19.72,21.47,11.46,18.75,15.43,17.52,14.14,16.51,20.86,25.47,40.71,8.64,10.95,22.3,15.4,19.56,4.28,0
9.26,13.35,22.21,14.59,15.45,6.72,11.53,11.31,14.59,9.2,14.43,12.08,15.88,36.28,7.47,7.12,16.45,13.58,14.54,3.88,0
10.54,12.23,33.96,18.16,13.69,6.76,16.0,14.84,13.69,13.17,13.81,31.02,27.61,20.12,8.65,19.55,20.49,12.11,15.4,3.92,0
11.86,14.78,9.7,7.04,6.59,7.48,4.99,5.75,15.45,10.72,12.83,7.81,7.3,9.31,6.47,5.65,6.05,9.05,7.69,3.24,0
17.21,20.67,36.89,31.29,32.63,10.3,20.98,26.97,27.01,17.93,26.86,40.93,41.95,30.37,15.0,25.73,27.65,26.41,33.11,7.89,0
15.8,19.94,30.37,39.37,63.63,11.03,15.45,29.74,24.52,14.62,23.55,30.81,31.13,53.14,11.96,16.55,17.27,30.57,44.84,5.62,0
32.9,44.18,49.37,29.76,22.33,19.37,22.83,20.79,45.01,28.19,34.32,40.01,31.89,35.09,15.9,22.69,25.31,31.12,28.95,6.3,0
9.42,11.39,17.93,13.41,14.81,6.09,7.52,11.35,12.11,8.83,11.28,23.98,22.25,22.0,6.62,14.76,17.27,14.01,17.75,3.26,0
16.29,28.01,46.09,81.71,96.06,15.4,21.64,52.46,31.56,15.58,28.76,40.83,82.57,86.93,12.86,22.78,45.98,43.8,102.74,5.51,0
29.9,37.85,39.57,21.36,36.45,22.25,24.99,19.35,41.46,24.69,34.57,31.51,29.37,59.94,15.3,14.11,27.64,27.47,20.35,8.31,0
15.89,21.74,36.89,29.91,27.85,12.63,20.58,24.2,26.36,16.27,22.85,40.63,48.42,33.93,11.38,31.35,42.39,24.41,30.86,5.73,0
8.41,13.85,26.17,16.56,11.08,9.21,12.33,10.92,12.78,8.12,12.68,25.77,19.91,15.86,8.4,14.66,12.54,17.16,18.54,4.13,0
8.36,11.97,21.24,8.3,7.1,6.32,11.11,7.16,12.58,8.14,10.54,24.02,16.51,12.74,5.58,14.81,13.99,9.88,9.56,4.71,0
13.67,13.41,17.6,8.18,6.29,8.56,8.29,6.8,17.08,14.49,17.79,20.59,9.59,7.87,9.33,10.22,8.94,15.12,9.0,3.61,0
22.68,33.62,50.1,36.0,15.86,21.17,26.05,22.55,29.41,21.03,24.66,18.23,12.4,13.22,12.57,6.35,12.39,35.21,30.69,4.6,0
7.78,9.87,15.05,9.47,8.11,6.4,8.08,6.55,10.44,8.39,10.42,22.77,20.25,14.6,6.38,13.64,15.77,10.92,12.47,3.41,0
12.2,10.63,18.23,58.14,117.11,9.53,31.1,104.55,20.07,19.02,19.01,17.36,18.51,131.35,16.2,11.04,18.37,26.1,43.08,10.55,0
17.93,11.07,21.1,43.16,102.72,13.45,44.05,101.39,24.05,15.27,17.96,20.18,20.88,131.7,14.58,8.08,35.72,28.02,35.27,10.01,0
23.89,16.8,33.81,53.07,179.62,15.4,43.25,126.31,41.63,25.08,29.49,24.19,34.12,220.29,22.74,5.4,35.18,41.64,38.49,9.05,0
21.47,16.49,35.38,75.14,135.47,19.05,43.17,118.04,35.87,19.44,24.18,22.2,28.89,150.62,17.22,13.07,48.98,41.07,63.75,8.18,0
21.02,16.07,20.71,57.72,104.51,16.31,44.54,91.31,34.64,16.38,16.85,29.94,18.89,143.21,13.18,9.24,33.39,23.67,36.37,8.6,0
17.22,10.04,23.05,63.83,118.7,10.62,37.05,126.29,22.5,19.76,16.72,21.28,25.03,125.97,15.94,10.66,32.88,26.06,39.16,7.97,0
11.4,9.16,23.6,31.07,76.4,7.57,28.49,81.18,20.0,15.07,19.34,13.7,12.03,127.78,14.58,6.49,22.55,30.84,17.6,9.38,0
13.2,10.97,27.65,66.22,126.34,11.46,33.55,115.53,27.61,22.5,26.44,26.04,22.86,162.79,20.88,8.92,37.48,35.68,39.75,9.14,0
23.39,14.18,25.54,70.59,149.56,13.8,28.33,136.66,35.93,24.52,28.79,20.11,21.07,184.53,20.67,11.2,42.44,36.15,38.92,9.69,0
12.73,8.34,22.32,51.95,116.13,12.71,16.82,94.73,20.19,18.39,19.62,17.16,20.61,126.54,15.84,6.91,23.88,29.44,48.73,9.1,0
13.3,10.32,23.77,47.39,124.03,8.29,31.92,102.93,23.4,16.57,17.56,24.25,16.85,158.05,15.22,9.03,26.47,27.26,38.11,7.74,0
21.36,20.32,24.89,90.39,225.61,14.54,30.1,166.11,44.71,19.22,28.39,37.46,19.91,213.71,15.02,10.48,26.45,44.07,58.77,8.13,0
19.7,12.63,28.91,66.13,135.45,15.26,34.46,99.12,27.66,19.34,18.25,28.35,29.91,165.53,16.04,8.36,31.65,21.19,46.66,11.29,0
20.25,19.72,24.81,85.06,175.96,16.44,35.23,165.8,45.49,20.59,25.9,33.2,24.45,184.23,18.99,14.46,42.29,50.94,59.74,8.66,0
23.37,15.87,17.03,115.5,200.32,9.88,21.08,167.15,45.23,16.94,23.08,37.82,15.61,209.91,13.96,14.57,26.21,28.62,71.57,9.1,0
22.34,21.37,31.67,77.32,156.78,18.6,16.63,146.89,49.25,24.86,31.94,34.76,23.36,159.28,21.4,12.01,46.76,53.14,58.29,8.93,0
17.24,13.63,44.66,54.28,80.0,11.7,24.54,89.55,36.19,20.44,24.59,39.14,29.06,124.38,15.52,9.81,54.13,37.55,37.51,9.53,0
28.79,20.48,41.52,74.95,119.63,22.47,23.41,120.37,42.2,27.28,33.07,29.44,39.43,201.31,25.99,15.13,52.16,42.67,63.49,11.09,0
25.34,18.79,25.72,83.09,152.35,17.78,39.93,142.66,44.54,21.19,22.02,25.95,38.2,193.44,17.96,9.25,37.55,24.99,57.48,8.16,0
20.49,12.76,25.31,93.75,149.98,11.16,23.04,123.91,33.57,22.21,19.3,20.08,28.67,152.33,14.76,11.52,35.94,28.11,64.56,10.39,0
19.94,14.51,34.07,79.53,153.64,11.97,18.07,128.16,33.72,28.24,29.83,28.16,29.8,181.13,24.01,15.41,52.17,36.84,41.93,8.12,0
17.83,13.45,36.79,58.66,139.55,12.13,28.27,106.86,37.11,21.88,22.89,25.71,30.37,187.7,18.25,11.76,53.65,34.81,51.25,7.57,0
22.16,17.29,17.63,71.59,158.52,13.7,21.38,156.54,42.77,21.38,23.54,21.23,25.72,187.45,18.15,10.79,51.12,32.52,38.7,6.87,0
17.33,12.02,15.42,40.85,127.5,10.96,24.08,112.23,27.19,18.22,17.27,14.35,24.53,157.62,14.66,6.34,34.14,25.58,26.61,9.82,0
21.61,15.07,19.83,70.34,161.59,20.54,20.14,113.68,35.45,28.59,27.38,17.36,31.99,162.42,20.79,9.6,33.03,43.94,60.09,9.96,0
27.06,18.75,26.34,93.78,170.46,21.73,24.74,127.45,39.57,17.63,18.52,14.32,29.57,216.81,14.52,11.77,45.98,36.56,86.37,8.31,0
21.01,11.75,16.31,59.15,147.41,14.0,15.01,101.63,26.17,20.87,19.35,12.58,31.95,143.71,18.03,9.74,27.99,27.99,53.27,9.11,0
19.36,16.76,33.95,78.05,121.38,18.65,34.44,110.31,35.32,19.82,21.95,25.38,30.1,122.67,16.08,19.68,52.17,42.91,76.41,12.17,0
24.6,19.98,51.91,56.58,129.94,23.06,34.24,108.2,42.77,32.12,29.08,26.9,42.82,155.06,20.51,17.05,71.96,53.92,41.57,8.12,0
9.86,6.13,32.11,23.55,46.02,6.88,21.42,38.98,12.97,12.63,11.35,29.27,20.26,94.76,12.03,7.9,26.9,21.49,19.31,6.58,0
14.01,8.45,21.54,25.93,60.4,6.49,22.84,78.95,23.88,17.97,15.07,16.09,17.54,141.68,16.15,6.11,22.15,24.55,15.54,7.15,0
18.17,14.99,22.22,65.49,143.76,12.62,24.63,138.32,31.05,18.57,22.05,23.85,21.08,190.38,16.61,8.41,28.52,30.75,46.8,10.22,0
14.95,10.74,21.63,47.94,73.93,9.37,20.88,76.06,23.98,16.33,14.05,22.7,15.86,87.59,13.04,8.23,20.57,26.76,28.68,10.24,0
9.54,5.81,23.7,27.71,45.99,7.52,17.93,46.94,13.1,12.42,11.71,14.22,13.95,67.92,11.42,7.51,18.7,20.11,18.16,7.76,0
22.18,16.29,34.61,75.44,200.64,15.29,20.44,137.72,40.26,28.63,27.94,22.76,34.08,197.89,25.06,9.34,31.53,36.92,46.58,8.9,0
21.66,16.04,43.54,85.79,140.94,13.53,31.45,144.02,42.53,24.84,25.16,32.89,35.26,190.59,16.63,12.14,44.47,44.98,57.52,10.26,0
181.31,27.2,80.72,308.04,307.83,33.4,62.14,352.02,152.26,226.14,58.84,50.86,177.71,441.22,53.94,44.34,193.45,237.82,103.39,120.15,0
14.46,10.24,27.62,57.57,149.02,10.39,19.11,114.93,26.4,19.29,19.15,16.01,19.59,149.83,14.3,7.65,35.92,35.7,40.23,8.43,0
21.74,16.82,22.69,66.59,152.87,15.39,25.17,143.91,34.93,22.19,23.0,24.03,24.73,150.4,18.43,8.29,31.02,33.01,38.8,8.5,0
18.96,14.32,61.04,66.71,114.49,13.94,22.4,127.2,36.54,20.47,23.08,25.3,25.6,151.32,17.77,10.3,51.56,43.93,52.16,11.25,0
12.83,8.8,29.77,42.14,101.08,8.89,16.73,70.82,20.84,19.51,19.53,22.82,13.79,134.23,17.7,8.45,24.56,25.38,23.81,11.46,0
20.38,14.78,50.88,67.89,78.96,13.87,29.08,103.68,33.17,14.68,14.39,31.9,22.53,132.38,15.32,11.3,33.67,24.11,51.06,7.45,0
13.43,11.33,33.47,49.77,106.73,11.16,25.95,125.14,26.4,17.53,22.67,40.57,28.2,103.87,15.09,9.99,36.89,37.82,32.07,8.21,0
22.32,18.59,40.47,70.02,105.51,15.73,32.76,122.63,37.67,20.38,21.51,34.12,28.13,159.53,13.39,18.64,61.94,37.38,50.54,7.72,0
15.13,9.22,32.57,24.12,32.72,14.4,24.85,35.59,15.71,18.92,13.41,31.35,31.87,40.92,14.77,9.47,26.93,20.34,23.84,11.33,0
12.92,6.75,42.56,27.08,27.63,8.21,15.33,38.83,13.57,12.6,11.49,14.39,10.42,44.5,12.96,5.66,13.51,18.14,17.84,9.02,0
16.98,11.1,41.58,86.77,150.33,12.61,26.4,140.53,33.67,20.01,25.01,23.44,30.46,163.9,19.8,11.86,37.98,37.35,56.87,8.3,0
20.02,15.16,45.81,73.63,147.79,12.93,19.71,136.22,30.62,22.19,20.1,33.41,26.07,159.1,17.42,14.86,41.18,38.26,55.93,10.0,0
19.58,17.67,28.82,40.7,146.6,16.97,21.93,102.1,34.22,21.16,21.27,18.89,27.47,142.43,18.83,8.59,31.14,35.85,47.92,10.16,0
20.23,12.63,45.52,95.0,164.62,13.61,23.84,145.07,35.92,25.85,27.43,46.57,31.3,145.48,22.38,15.98,41.43,38.77,52.85,9.63,0
27.22,14.97,31.72,85.37,201.02,18.65,35.27,154.09,42.02,35.16,32.47,18.48,40.96,155.49,22.33,11.08,53.04,48.24,67.7,8.22,0
18.85,13.05,31.42,54.29,148.73,12.42,21.6,98.86,27.67,23.33,23.34,32.72,28.47,141.6,19.2,12.21,39.01,32.36,37.83,10.15,0
20.39,13.5,30.39,65.85,156.21,12.35,17.03,135.63,33.17,18.24,19.41,25.22,19.55,175.6,15.7,10.11,34.77,32.96,47.33,8.74,0
27.33,22.07,64.97,57.02,125.34,18.72,15.77,86.88,42.25,22.06,21.98,24.15,28.81,191.31,16.32,9.5,47.65,31.1,58.18,9.77,0
10.97,7.78,40.99,40.6,63.45,7.81,19.48,68.41,17.23,16.79,18.77,22.29,20.91,99.53,14.94,10.5,37.97,31.21,20.59,9.93,0
19.79,13.28,40.99,47.19,89.99,12.41,31.24,101.13,33.13,18.72,16.29,25.55,27.8,154.27,14.18,13.09,59.99,30.21,28.01,9.16,0
12.06,9.14,24.21,23.03,39.53,9.7,19.52,52.75,17.13,13.84,13.77,19.05,14.06,59.06,14.82,5.98,22.05,22.41,21.42,5.91,0
13.29,9.15,30.08,24.12,33.33,9.55,23.89,58.31,19.73,13.12,11.3,22.53,15.5,70.92,11.58,10.06,24.44,28.9,25.18,8.08,0
20.35,12.21,35.27,80.23,90.13,17.91,24.43,92.78,28.55,35.62,29.13,16.44,47.21,84.2,23.97,20.13,55.76,47.1,98.39,10.24,0
16.13,8.37,18.75,38.88,64.37,11.25,16.44,92.74,22.03,16.36,16.36,14.81,13.14,93.79,15.87,7.92,23.59,29.71,25.69,7.8,0
13.3,8.77,35.7,55.09,92.17,9.81,28.08,92.26,30.69,17.78,26.05,43.79,20.81,73.79,22.54,11.85,40.39,51.22,49.96,14.55,0
13.6,7.97,16.63,12.09,6.07,5.01,11.51,11.69,3.97,12.01,6.58,12.13,7.99,8.53,8.68,5.37,5.39,9.25,9.33,6.75,0
2.88,3.11,9.79,11.23,4.61,3.89,8.75,10.75,3.16,7.94,7.82,6.63,5.26,11.63,10.16,2.83,4.19,9.45,11.93,7.15,0
3.73,3.52,18.14,12.51,6.06,4.3,10.16,10.14,3.52,7.46,7.44,16.4,9.48,9.03,10.12,4.74,5.47,11.27,10.91,5.74,0
5.8,3.33,26.25,12.68,5.54,5.25,9.66,8.87,4.39,9.52,7.86,10.75,8.77,11.98,7.9,3.93,5.0,11.37,10.08,8.17,0
3.38,4.28,11.54,12.53,6.13,4.23,8.89,12.73,3.96,6.74,8.04,5.29,3.24,13.74,8.04,3.09,3.52,10.76,13.71,8.77,0
3.86,3.55,35.26,15.66,5.08,3.85,11.13,10.49,3.76,7.99,8.84,7.72,6.65,12.2,10.37,4.18,4.44,11.18,12.7,5.79,0
4.19,3.12,27.97,19.19,6.4,4.79,9.16,11.68,3.99,6.56,6.62,7.57,8.73,18.58,6.87,5.04,8.29,14.25,21.0,6.59,0
5.34,4.21,24.97,28.7,12.1,6.63,12.21,13.81,7.68,9.15,7.19,9.4,13.55,27.16,7.09,5.75,11.08,13.93,39.52,4.58,0
6.56,4.95,22.31,14.32,9.23,7.12,9.8,11.28,6.69,7.82,6.02,21.01,16.97,19.71,8.54,6.88,10.33,10.15,19.05,5.72,0
5.93,4.68,14.94,9.24,7.39,6.28,8.99,7.68,5.09,5.93,7.1,11.94,10.08,8.21,7.13,4.52,5.87,7.54,8.75,5.75,0
3.28,4.29,12.38,8.57,4.06,5.02,7.37,7.36,4.02,6.7,6.84,12.21,8.67,8.79,8.16,3.41,3.55,7.06,7.91,5.22,0
6.36,4.54,22.24,15.79,6.96,7.12,8.89,11.68,5.16,5.91,6.11,23.37,14.2,19.17,7.05,5.02,6.01,11.27,19.81,6.36,0
8.13,4.12,45.84,44.26,18.48,8.64,11.24,24.28,6.79,8.94,8.53,21.92,11.67,15.07,9.98,12.55,11.15,11.94,28.94,4.79,0
5.8,4.83,32.36,24.53,9.04,7.29,15.21,18.65,6.6,7.75,7.54,19.75,13.65,19.88,10.55,9.17,12.25,12.19,32.58,4.57,0
3.36,3.68,17.52,10.0,7.33,5.48,8.17,9.88,4.56,7.81,7.02,16.6,12.92,14.53,7.97,4.04,6.6,8.17,9.14,6.68,0
4.35,5.39,20.35,15.34,5.06,8.42,9.46,12.13,3.73,5.98,6.29,15.78,10.01,15.38,8.2,5.33,5.76,8.08,15.11,5.78,0
4.86,5.59,11.1,13.76,11.01,6.58,12.82,15.91,7.59,5.48,5.64,15.65,11.62,19.57,7.91,8.22,15.26,7.53,14.8,3.95,0
4.83,3.4,6.76,11.01,3.26,5.8,9.43,11.27,4.22,5.86,4.69,8.2,4.2,11.68,6.18,5.15,3.02,6.7,13.3,6.24,0
3.69,3.32,8.94,10.17,5.86,4.19,8.73,9.77,4.48,4.35,4.83,7.13,6.73,8.64,5.66,4.32,4.99,6.01,9.11,6.61,0
5.22,3.62,19.16,29.29,14.07,5.69,10.96,22.72,6.56,7.18,7.34,20.99,15.75,20.91,7.86,8.53,9.83,10.21,30.37,7.62,0
4.16,3.97,9.89,14.62,18.68,6.58,11.35,13.64,4.91,8.55,7.6,4.59,8.0,13.63,9.13,3.8,7.81,11.86,15.29,6.96,0
3.1,2.93,7.85,9.42,9.48,4.38,7.96,7.48,3.73,6.53,7.23,4.75,4.79,10.06,8.19,4.24,5.53,9.25,11.39,3.76,0
3.33,3.96,16.33,17.09,6.96,4.09,10.37,12.39,3.91,6.06,5.32,9.29,8.97,15.09,7.34,4.47,6.2,7.87,16.49,6.06,0
3.94,4.28,15.35,7.25,3.51,5.0,8.72,6.73,4.17,5.72,5.31,18.87,10.24,8.3,6.32,4.47,4.48,5.7,6.58,6.31,0
3.78,4.27,13.34,8.23,3.57,6.43,11.81,9.85,4.49,6.49,5.63,11.11,6.11,10.54,7.95,3.15,3.79,7.04,6.94,7.43,0
3.51,3.79,10.37,8.98,4.18,5.53,7.98,8.44,3.6,6.58,6.23,8.07,5.66,12.46,6.99,3.57,3.46,7.74,9.08,8.49,0
6.59,5.68,16.42,14.28,11.32,6.55,14.38,12.37,6.08,8.27,7.65,14.93,9.87,13.44,9.09,3.88,7.77,9.87,16.14,5.69,0
3.32,2.73,18.81,12.21,10.58,5.26,9.66,11.77,3.32,8.51,7.55,9.01,7.67,20.34,8.53,4.05,5.88,9.59,9.97,5.73,0
7.41,6.91,25.95,27.9,16.27,9.8,12.12,16.28,6.64,8.64,7.63,20.55,15.78,17.17,9.71,7.21,8.26,11.14,33.7,4.26,0
5.82,5.77,25.12,26.06,29.57,8.19,16.75,20.79,7.78,10.43,7.52,15.02,18.24,40.06,10.49,5.67,10.82,9.88,32.94,6.26,0
4.04,4.44,27.08,21.15,8.23,6.4,11.09,12.35,4.71,7.5,6.68,15.74,11.02,30.06,8.24,7.07,8.87,9.19,18.7,8.31,0
4.04,4.22,24.52,13.2,6.2,5.75,12.31,14.53,4.91,7.47,6.46,15.08,10.57,14.22,8.52,5.48,5.94,9.23,9.84,6.44,0
6.02,3.57,43.33,37.32,20.38,5.88,12.15,19.26,5.33,12.18,11.28,13.87,15.44,22.19,13.57,8.24,13.45,11.21,27.74,5.23,0
4.87,4.53,18.81,15.46,5.92,3.88,14.67,15.61,4.77,8.51,8.42,11.53,10.01,15.09,11.17,4.24,4.84,9.7,15.09,6.04,0
4.34,4.32,16.74,14.64,9.13,6.58,13.57,14.99,4.6,9.29,8.16,8.63,8.28,18.23,11.94,4.07,5.31,8.01,17.74,5.53,0
4.34,3.81,13.63,10.44,5.56,5.67,10.24,9.47,4.76,8.41,6.16,12.38,7.49,11.86,8.76,2.45,4.57,8.05,9.75,7.74,0
6.11,5.65,14.79,12.09,4.36,7.37,8.99,11.2,5.11,7.04,6.83,13.47,9.13,12.34,8.02,4.14,3.93,10.09,13.11,5.8,0
6.15,4.09,15.71,15.48,8.03,6.78,10.55,11.54,5.73,7.24,6.67,11.77,7.56,13.33,7.51,4.14,4.14,8.31,16.21,6.15,0
5.74,3.83,13.77,13.06,4.45,5.75,8.77,10.68,3.29,7.87,8.13,9.07,5.82,14.84,8.79,3.16,3.19,12.8,14.82,11.07,0
2.95,3.02,12.36,8.8,6.21,4.59,10.97,7.67,3.44,8.46,7.49,5.47,5.53,7.31,8.61,3.44,3.98,8.73,9.24,8.96,0
4.8,4.43,23.35,14.93,4.87,5.27,9.36,10.89,4.84,7.65,6.6,12.33,7.69,10.91,7.83,4.58,5.06,8.51,11.57,6.92,0
3.71,3.08,13.55,13.07,3.12,5.39,10.16,11.31,3.1,8.51,6.75,12.56,7.18,12.29,8.4,3.79,3.46,9.52,12.62,6.0,0
2.79,3.17,12.94,8.74,5.47,2.82,8.58,8.81,3.03,7.1,7.12,11.31,8.48,9.2,7.88,5.06,6.27,8.98,8.42,4.78,0
4.19,4.04,25.42,13.39,7.53,5.6,10.28,9.95,3.84,7.51,7.21,14.92,8.5,8.33,7.64,5.3,6.81,10.62,10.86,6.01,0
2.62,2.59,16.89,11.34,7.12,3.24,13.96,16.75,3.24,7.41,6.47,8.73,8.47,10.8,8.32,3.0,3.72,7.48,9.07,6.78,0
4.34,4.2,28.34,17.0,7.9,7.73,10.68,11.44,5.67,7.31,8.44,20.91,15.01,15.82,9.09,6.06,7.51,9.75,15.89,7.57,0
6.22,5.05,28.43,29.69,17.95,6.3,12.06,18.23,6.15,6.9,6.63,17.34,18.4,31.8,7.86,9.82,11.41,11.88,35.27,6.77,0
5.79,5.41,26.02,24.38,11.07,7.34,11.29,16.05,7.9,7.43,7.8,21.85,9.18,23.51,7.38,5.32,7.01,10.39,23.25,6.11,0
4.77,3.89,10.3,10.36,8.82,7.39,6.93,8.75,3.67,7.24,5.4,6.49,6.38,9.05,9.04,5.77,8.19,10.27,11.52,4.2,0
6.63,6.07,21.14,17.69,12.23,10.7,8.65,11.23,6.67,6.85,7.71,15.76,8.13,19.34,7.69,6.13,5.75,9.79,17.01,4.92,0
4.96,5.94,24.16,22.16,14.27,6.52,16.13,24.06,6.75,4.95,3.82,13.75,7.66,28.38,7.17,7.14,8.62,7.62,21.38,5.22,0
4.32,4.12,14.22,12.71,11.32,6.21,8.29,11.37,5.39,7.68,7.94,10.94,8.09,21.74,8.77,6.32,8.54,10.0,14.28,6.63,0
7.01,5.7,23.94,34.4,28.76,9.68,14.34,25.31,7.54,9.01,8.52,17.91,10.06,21.57,9.19,10.13,12.52,17.33,32.55,6.8,0
4.33,3.18,23.43,26.65,17.04,5.23,12.26,13.88,3.83,7.17,7.32,11.58,10.85,19.24,8.61,8.87,12.6,11.51,27.89,5.81,0
4.88,4.6,16.16,24.26,9.63,5.44,14.52,26.7,6.73,6.32,6.03,12.5,8.91,18.0,6.07,8.54,10.34,11.98,22.76,7.66,0
2.93,3.36,16.14,11.19,12.45,3.9,15.08,17.31,4.81,6.41,7.58,9.21,8.57,16.65,8.06,5.48,12.0,10.94,10.36,8.09,0
4.03,4.14,21.69,12.07,8.65,5.33,10.09,10.05,4.0,6.34,8.34,10.07,6.36,12.91,8.55,5.36,7.26,12.67,10.99,7.84,0
5.39,4.68,26.76,22.67,14.26,6.59,14.25,19.01,6.87,5.47,6.55,20.37,13.99,25.89,7.24,8.67,9.6,12.39,26.2,5.51,0
3.58,3.44,12.11,9.09,8.77,5.79,10.58,9.7,3.39,8.46,7.84,6.66,3.85,15.52,10.12,3.68,5.32,10.59,9.23,5.57,0
51.27,59.75,60.21,100.67,139.75,32.6,28.01,83.7,79.68,47.78,56.07,33.53,49.77,73.45,26.07,19.34,93.04,61.68,72.3,10.71,0
35.77,45.58,37.67,60.01,117.76,26.06,21.75,57.45,71.26,33.26,47.62,28.7,56.77,88.8,19.8,19.72,125.16,44.06,52.6,11.78,0
38.23,56.47,50.49,58.18,73.21,27.9,26.15,47.49,70.31,41.83,59.85,36.47,54.05,84.05,24.64,16.63,96.32,55.95,45.99,5.97,0
33.32,39.94,32.17,56.07,89.04,25.37,22.67,44.87,36.68,27.91,38.2,36.32,76.48,99.92,19.32,13.96,110.89,39.96,59.92,6.68,0
36.59,59.57,57.99,60.79,70.98,31.87,27.3,40.56,61.77,31.94,49.67,29.43,36.95,59.22,22.65,9.58,65.25,57.68,50.99,5.67,0
28.79,42.75,40.95,50.4,67.52,21.47,19.79,53.39,38.64,27.89,41.14,36.96,53.26,52.7,21.89,23.8,78.61,49.66,48.31,9.84,0
